date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:51:37	107/107	---M--	200	added ('OK')	text/plain	date:Mon,%2006%20Feb%202012%2004:40:58%20GMT	http://www.narrowdesign.com/robots.txt		(from )
08:51:38	79215/79215	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202019%2023:53:34%20GMT	http://www.narrowdesign.com/	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/index.html	(from )
08:51:38	647/647	---M--	200	added ('OK')	image/png	etag:%22287-54f86dd25b080%22	http://www.narrowdesign.com/favicon-32x32.png	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/favicon-32x32.png	(from http://www.narrowdesign.com/)
08:51:38	300/300	---M--	200	added ('OK')	image/png	etag:%2212c-54f86dd166e40%22	http://www.narrowdesign.com/favicon-16x16.png	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/favicon-16x16.png	(from http://www.narrowdesign.com/)
08:51:39	132406/132406	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Jun%202019%2012:22:28%20GMT	http://www.narrowdesign.com/ui/assets/styles/css/style.css	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/styles/css/style.css	(from http://www.narrowdesign.com/)
08:51:44	8269/8269	---M--	200	added ('OK')	application/javascript	date:Tue,%2016%20May%202017%2022:20:06%20GMT	http://www.narrowdesign.com/ui/assets/scripts/mousewheel.js	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/scripts/mousewheel.js	(from http://www.narrowdesign.com/)
08:51:46	11120/11120	---M--	200	added ('OK')	image/jpeg	etag:%222b70-54f428f1c84c0%22	http://www.narrowdesign.com/ui/assets/images/projects/gotThumb.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/images/projects/gotThumb.jpg	(from http://www.narrowdesign.com/)
08:51:48	13987/13987	---M--	200	added ('OK')	image/jpeg	etag:%2236a3-54f428ec0f740%22	http://www.narrowdesign.com/ui/assets/images/projects/fltvThumb.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/images/projects/fltvThumb.jpg	(from http://www.narrowdesign.com/)
08:51:51	17590/17590	---M--	200	added ('OK')	image/jpeg	etag:%2244b6-54f42902f2d40%22	http://www.narrowdesign.com/ui/assets/images/projects/prometheusThumb.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/images/projects/prometheusThumb.jpg	(from http://www.narrowdesign.com/)
08:51:53	49529/49529	---MC-	200	added ('OK')	text/javascript	date:Wed,%2011%20Aug%202021%2000:32:57%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.google-analytics.com/analytics.js	(from http://www.narrowdesign.com/)
08:51:53	84245/84245	---M--	200	added ('OK')	application/javascript	date:Thu,%2011%20May%202017%2017:03:36%20GMT	http://www.narrowdesign.com/ui/assets/scripts/jquery-2.1.1.min.js	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/scripts/jquery-2.1.1.min.js	(from http://www.narrowdesign.com/)
08:51:54	15911/15911	---M--	200	added ('OK')	image/jpeg	etag:%223e27-54f428fd39fc0%22	http://www.narrowdesign.com/ui/assets/images/projects/nfcThumb.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/images/projects/nfcThumb.jpg	(from http://www.narrowdesign.com/)
08:51:55	9026/9026	---M--	200	added ('OK')	image/jpeg	etag:%222342-54f42907b7880%22	http://www.narrowdesign.com/ui/assets/images/projects/spentThumb.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/images/projects/spentThumb.jpg	(from http://www.narrowdesign.com/)
08:51:56	18149/18149	---M--	200	added ('OK')	image/jpeg	etag:%2246e5-54f428f781240%22	http://www.narrowdesign.com/ui/assets/images/projects/gridThumb.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/images/projects/gridThumb.jpg	(from http://www.narrowdesign.com/)
08:52:03	39597/39597	---M--	200	added ('OK')	image/jpeg	etag:%229aad-54f428f0d4280%22	http://www.narrowdesign.com/ui/assets/images/projects/got4.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/images/projects/got4.jpg	(from http://www.narrowdesign.com/)
08:52:06	15025/15025	---M--	200	added ('OK')	application/javascript	etag:%223ab1-58a88aa5d9b80%22	http://www.narrowdesign.com/ui/assets/scripts/script.js?test=1	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/scripts/scriptab43.js	(from http://www.narrowdesign.com/)
08:52:07	2805/2805	---M--	200	added ('OK')	application/javascript	etag:%22af5-54faba82bd4c0%22	http://www.narrowdesign.com/ui/assets/scripts/spiral.js?test=1	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/scripts/spiralab43.js	(from http://www.narrowdesign.com/)
08:52:09	87218/87218	---M--	200	added ('OK')	image/jpeg	etag:%22154b2-54f428eeebe00%22	http://www.narrowdesign.com/ui/assets/images/projects/got3.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/images/projects/got3.jpg	(from http://www.narrowdesign.com/)
08:52:20	184588/184588	---M--	200	added ('OK')	image/jpeg	etag:%222d10c-54f428edf7bc0%22	http://www.narrowdesign.com/ui/assets/images/projects/got2.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/www.narrowdesign.com/ui/assets/images/projects/got2.jpg	(from http://www.narrowdesign.com/)
08:52:21	326253/326253	---M--	200	added ('OK')	image/jpeg	etag:%224fa6d-54f8f3e700680%22	http://narrowdesign.com/ui/assets/images/nj1.jpg	C:/Users/sanja/OneDrive/Desktop/New%20folder/nj/narrowdesign.com/ui/assets/images/nj1.jpg	(from http://www.narrowdesign.com/)
